id,price
0,3042.31
1,5335.57
2,9155.49
3,4144.95
4,1714.33
5,6055.94
6,4735.84
7,4344.82
8,5253.79
9,15716.5
10,4342.42
11,909.66
12,3159.67
13,1641.47
14,2409.7
15,1120.94
16,1459.22
17,4099.3
18,4256.48
19,879.96
20,2228.86
21,5232.84
22,4302.04
23,603.62
24,17220.11
25,1039.7
26,608.6
27,992.42
28,1651.95
29,945.46
30,10459.71
31,542.85
32,4033.46
33,745.78
34,663.55
35,2320.53
36,5929.0175
37,2513.6
38,2995.77
39,647.95
40,510.54
41,9035.56
42,896.07
43,1940.64
44,10361.32
45,2471.52
46,939.53
47,860.21
48,1187.74
49,2864.28
50,579.49
51,4539.04
52,2900.07
53,7062.9
54,5509.71
55,2234.75
56,9865.1
57,2524.17
58,4348.64
59,3115.77
60,1246.58
61,502.2
62,7133.07
63,1173.95
64,8890.64
65,17136.35
66,879.4
67,12114.49
68,5149.02
69,9191.59
70,453.0
71,625.2583333333333
72,889.98
73,1252.83
74,5213.87
75,1849.58
76,8560.27
77,14284.01
78,2739.1
79,6739.96
80,10872.69
81,2100.08
82,13851.06
83,6417.57
84,855.17
85,7787.518
86,1016.58
87,12277.5
88,7899.05
89,14708.17
90,4714.96
91,1337.69
92,1007.95
93,898.182
94,17612.25
95,482.78
96,14614.16
97,15261.86
98,13230.11
99,764.05
100,2435.11
101,746.88
102,659.04
103,461.74
104,1037.47
105,1626.02
106,1368.42
107,827.4
108,1042.47
109,721.89
110,618.74
111,1040.01
112,1906.03
113,1699.64
114,1531.44
115,5219.92
116,5381.79
117,15944.16
118,480.84
119,17022.49
120,1317.89
121,1689.67
122,1153.52
123,503.67
124,691.59
125,1255.76
126,1132.36
127,13497.57
128,5256.77
129,5122.24
130,6365.01
131,3331.93
132,6794.41
133,1028.27
134,3572.35
135,1025.41
136,593.38
137,7238.27
138,547.59
139,4352.53
140,836.95
141,1023.22
142,3777.3
143,3567.98
144,776.84
145,6432.89
146,16938.23
147,5358.94
148,2652.29
149,1870.14
150,2407.25
151,1694.13
152,12092.26
153,2827.86
154,718.53
155,14311.68
156,3620.46
157,2856.25
158,3947.91
159,877.54
160,7833.93
161,9756.01
162,633.92
163,677.72
164,5551.06
165,11429.77
166,3373.66
167,4561.19
168,3400.2
169,11504.04
170,681.51
171,1702.04
172,4580.26
173,2005.68
174,6404.818333333334
175,1742.54
176,4436.15
177,3808.51
178,2598.67
179,3404.59
180,3469.16
181,1763.45
182,931.16
183,1642.8
184,687.02
185,4185.99
186,866.29
187,879.09
188,517.99
189,1808.07
190,2285.11
191,712.52
192,891.81
193,6495.07
194,3793.42
195,2637.53
196,624.84
197,13555.98
198,610.01
199,8969.92
200,10544.06
201,6311.22
202,659.64
203,743.25
204,6412.11
205,3671.27
206,630.25
207,3108.28
208,941.2633333333334
209,8129.62
210,2706.46
211,6716.98
212,11489.06
213,421.32
214,1271.44
215,892.92
216,2580.94
217,2772.51
218,944.38
219,1231.45
220,2374.51
221,2153.55
222,9034.9
223,1014.33
224,1229.72
225,4352.13
226,3578.92
227,2048.33
228,6663.03
229,1886.15
230,4960.64
231,1517.02
232,1255.96
233,1535.54
234,1015.6
235,8335.42
236,1222.46
237,1012.36
238,4003.19
239,8242.42
240,5913.22
241,995.07
242,15598.895
243,4533.25
244,468.38
245,1099.35
246,2454.75
247,7303.62
248,11174.96
249,5710.23
250,5372.81
251,1549.58
252,2770.74
253,4963.18
254,5085.52
255,1226.39
256,650.95
257,2015.42
258,827.95
259,14925.73
260,6409.96
261,4884.05
262,1828.56
